Survey,ExternalName,logrho,logMass,DVsys,DVsysopt,Aspec,Aflux,Apeak,Amap,A1_inner,A2_outer,Avel,Source,AllowedUse,InterpretationGuardrail
VIVA,NGC4189,1.060000000,9.600000000,0,2,0.400000000,1.330000000,1.590000000,0.170000000,0.090000000,0.360000000,0.096000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
VIVA,NGC4192,0.910000000,10.700000000,13,,0.560000000,1.170000000,1.350000000,0.190000000,0.390000000,,0.079000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
VIVA,NGC4216,1.030000000,11.000000000,0,,0.538000000,1.010000000,1.060000000,0.190000000,0.230000000,,0.013000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
VIVA,NGC4222,1.110000000,9.400000000,2,,1.986000000,1.040000000,1.010000000,0.190000000,,,0.019000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
VIVA,NGC4254,0.940000000,10.400000000,4,,0.542000000,1.220000000,1.430000000,0.270000000,0.230000000,,0.084000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
VIVA,NGC4293,0.650000000,10.500000000,0,,1.078000000,1.050000000,,0.130000000,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
VIVA,NGC4294,0.990000000,9.300000000,9,5,1.756000000,1.460000000,1.640000000,0.370000000,0.850000000,0.770000000,0.160000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
VIVA,NGC4298,0.880000000,10.100000000,10,1,0.682000000,1.460000000,1.670000000,0.170000000,0.600000000,,0.067000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
VIVA,NGC4299,1.030000000,,0,16,1.964000000,1.100000000,,0.390000000,0.010000000,0.010000000,0.326000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
VIVA,NGC4302,0.930000000,10.400000000,5,23,0.212000000,1.120000000,1.210000000,0.170000000,,,0.029000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
VIVA,NGC4321,0.840000000,10.700000000,5,6,0.246000000,1.080000000,1.310000000,0.200000000,0.110000000,0.560000000,0.036000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
VIVA,NGC4330,1.130000000,9.500000000,6,11,0.270000000,1.120000000,1.320000000,0.360000000,,,0.016000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
VIVA,NGC4351,1.360000000,9.200000000,0,17,0.634000000,1.060000000,,0.280000000,0.180000000,0.530000000,0.165000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
VIVA,NGC4380,1.250000000,10.100000000,0,10,0.268000000,1.090000000,1.150000000,0.230000000,0.300000000,,0.031000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
